English,Korean
preferred,우선의
sophisticated,정교한
convolution,회선
abuse,남용
altercation,언쟁
dispute,논쟁
exploit,악용하다
revived,부활
concern,우려
compatible,호환 가능
feasible,실현 가능 한
refit,수리
term used,사용 된 용어
backward,뒤로
impurity,불결
regressor,회귀 자
exogenous,외인성
struggle,고심하다
boilerplate,보일러 플레이트
re-enforce,보강재
initial,초기의
specified,지정되었습니다
preprocessor,전처리 서
defines,정의합니다
expected,예상되는
probability,개연성
Principles,원리
residuals,잔차
reduced,줄인
improves,개선
applies,적용됩니다
predictive,예측
capability,능력
registration,등록
conference,회의
organiser,조직자
commitment,약속
commit,저지르다
preparation,준비
initiative,계획
Association,협회
Linguistics,언어학
submission,제출
turnaround,돌아서 다
purr,멍청이
hunts,사냥
mice,생쥐
formation,형성
rugged,엄격한
abstract,요약
property,재산
getter,얻는 사람
setter,세트
instantiate,인스턴스화
recurrent,재발
operand,피연산자
